last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,bacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Pujols, Albert,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,.244,.430,.305,.734,.185,211,0,3,.253,.433,.308,.319,.316,.175,.278,-0.009,-0.003,-0.011,88.3,12.4,26.7,6.0,3.7,23.7,27.8,35.5,3.2,36.3,59.7,11.1,30.8,30.1,69.9,100,332,52.8,67.4,7.0,184,1182,677,88.9,47.2,42.4,18.2,44.5,45.7,35.7,18.6,56.3,46.2,26.7,16.9,10.2,22.5,
Cabrera, Miguel,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,.282,.398,.346,.744,.116,196,0,0,.273,.443,.318,.332,.340,.167,.356,.009,-0.045,-0.014,90.3,12.2,38.5,6.4,7.2,30.5,21.5,33.1,1.3,44.6,67.8,14.7,34.0,40.7,59.3,151,371,54.0,75.3,7.6,185,1217,620,85.3,46.0,42.5,24.4,49.6,30.0,37.2,32.8,62.7,44.9,22.3,27.9,4.9,23.5,
Choo, Shin-Soo,2019,37,563,660,149,92,31,2,24,165,78,25.0,11.8,.265,.455,.371,.826,.190,256,1,15,.260,.469,.353,.356,.368,.206,.373,.005,-0.014,-0.003,91.3,8.7,32.1,8.8,9.0,28.1,16.8,33.1,4.3,49.0,63.9,20.9,20.1,55.9,44.1,151,270,50.0,74.9,7.3,397,1498,790,79.1,50.0,42.8,29.5,42.0,36.1,39.6,24.3,59.2,50.6,22.3,23.6,3.5,26.6,
Encarnacion, Edwin,2019,36,418,486,102,50,18,0,34,103,58,21.2,11.9,.244,.531,.344,.875,.287,222,1,0,.242,.513,.362,.360,.345,.270,.321,.002,.018,.002,90.0,22.5,34.6,12.6,5.7,21.4,36.5,21.4,2.5,42.0,65.7,20.7,25.2,37.2,62.8,106,285,53.9,75.5,7.0,225,1115,748,79.3,46.1,41.8,25.9,43.5,48.1,30.2,21.4,56.6,30.8,31.1,23.0,15.1,24.8,
Jones, Adam,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,.260,.414,.313,.727,.155,201,1,2,.256,.428,.308,.313,.311,.170,.326,.003,-0.014,-0.005,86.0,13.5,31.3,6.7,5.4,23.8,24.8,34.1,5.2,30.2,71.3,15.1,39.2,45.8,54.2,185,404,53.6,73.6,6.3,186,1122,614,84.9,46.4,43.1,27.0,54.1,39.3,38.0,22.5,62.2,43.9,25.8,21.2,9.0,26.8,
Desmond, Ian,2019,34,443,482,113,58,31,4,20,119,34,24.7,7.1,.255,.479,.309,.788,.223,212,3,3,.271,.474,.328,.335,.325,.201,.347,-0.016,.005,-0.007,90.6,8.4,32.4,10.4,4.9,24.5,19.6,37.9,2.8,42.2,67.5,17.2,26.1,47.4,52.6,120,253,53.1,78.0,6.7,180,1177,473,82.8,46.9,43.8,26.4,45.5,29.7,36.7,33.6,60.4,47.4,22.3,24.8,5.5,27.5,
Cruz, Nelson,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,.311,.639,.392,1.030,.328,290,1,0,.296,.644,.418,.419,.383,.346,.433,.015,-0.004,-0.001,93.7,13.1,38.3,19.9,8.3,20.6,20.2,28.8,2.1,51.5,69.8,21.9,27.2,54.5,45.5,174,319,55.4,82.6,7.3,223,1171,720,78.1,44.6,40.4,32.5,46.2,38.7,36.2,25.2,54.8,40.5,24.8,27.0,7.7,25.3,
Longoria, Evan,2019,34,453,508,115,74,19,2,20,112,43,22.0,8.5,.254,.437,.325,.762,.183,198,1,3,.274,.498,.322,.352,.344,.221,.332,-0.020,-0.061,-0.030,89.7,14.0,35.8,7.5,8.4,25.1,24.9,32.4,1.7,40.8,64.6,21.1,30.2,35.3,64.7,110,312,51.4,77.2,6.3,223,1197,591,78.9,48.6,42.3,25.7,46.8,37.3,40.5,22.3,60.4,41.0,26.6,27.2,5.2,26.4,
Fowler, Dexter,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,.238,.409,.345,.754,.170,199,5,8,.251,.421,.326,.338,.357,.167,.332,-0.013,-0.012,-0.012,85.2,13.0,40.9,7.4,4.6,28.3,24.6,31.1,4.0,28.4,66.5,21.2,23.0,42.2,57.8,127,301,54.8,78.6,6.4,429,1379,580,78.8,45.2,44.1,27.2,42.6,36.9,39.4,23.7,59.9,39.4,26.0,28.6,6.0,27.7,
Cabrera, Asdrubal,2019,34,447,514,116,72,25,1,18,103,57,20.0,11.1,.260,.441,.342,.783,.181,197,0,4,.241,.413,.331,.318,.329,.170,.330,.019,.028,.013,88.8,14.1,37.3,5.7,6.3,26.2,29.3,30.2,2.3,35.3,65.9,16.3,25.1,32.1,67.9,85,265,50.5,70.6,6.5,298,1252,538,83.7,49.5,45.1,20.7,45.3,46.2,32.2,21.7,58.0,38.7,27.4,27.6,6.3,25.4,
